RSI,MACD,Close,Stochastic Fast K,Stochastic Fast D,Williams %R,Ultimate Oscilator,TSF,CCI,Y
46.205821,0.174515,175.78,8.510638,33.31813,-73.684211,49.010514,176.363736,-108.067097,-0.105627
80.400505,1.024638,176.27,42.634843,73.015812,-11.508579,63.097109,177.151118,86.941087,-1.923077
48.477715,-0.166157,173.56,66.871166,54.950165,-36.99422,46.058076,173.307473,-56.599271,0.730011
46.387195,1.398583,240.435,8.89738,24.885002,-91.10262,33.447228,242.504451,-85.136732,2.28995
67.535865,2.931739,244.83,90.909091,91.5279,-8.207343,68.701099,245.202198,103.418593,0.320631
67.916237,2.853057,245,97.461929,93.882486,-1.098901,76.24285,245.56033,26.905197,0.673607
42.240456,0.153231,239.82,5.804749,20.89754,-97.603486,36.58936,240.801758,-127.504044,2.467592
77.304855,1.097435,206.6876,100,91.314706,0,74.491666,207.041952,103.053828,-4.797887
40.976563,-1.257304,196.068,17.923497,59.595674,-18.988622,52.1735,197.152901,16.019965,-1.678364
46.351618,-0.582444,196.92,29.268293,41.217087,-32.403525,46.076741,197.315165,-4.731861,-1.514689
57.805497,-0.344829,198.78,98.113208,43.750137,-1.458671,65.596565,197.705626,166.666667,-2.296332
76.053163,0.936881,127.2,97.077244,93.450518,-1.939058,71.39257,125.618681,125.785363,5.234116
41.689079,-0.544505,120.2682,27.402439,32.950797,-74.752809,46.94208,120.776152,-63.304331,4.384567
69.476513,0.356955,125,100,77.813545,0,62.374535,123.100495,79.893612,5.363253
42.573871,-0.576884,120.4201,53.767025,41.696392,-71.90824,47.939473,120.416621,-51.301584,4.201612
55.185025,0.211719,255.54,47.75641,51.557614,-29.422383,53.032593,255.953791,52.725118,0.340182
52.425587,-0.203965,255.56,61.305993,46.637975,-26.346154,52.918544,255.136924,44.322599,-0.378251
49.584931,0.638504,256.45,30.909091,34.201567,-53.835501,50.3522,257.604066,-126.631393,1.09701
51.463787,-0.243051,255.5941,93.375367,90.452522,-29.228938,61.882615,253.869908,89.775325,-0.905598
50.393097,-0.030236,63.9,85.106383,55.476306,-36.893204,52.350034,63.734286,58.15161,-0.406886
41.634545,-0.230258,62.27,54,56.590909,-44.525547,52.15215,62.296919,-28.619529,0
42.777468,-0.216894,62.31,62,59.818182,-60,56.650811,62.208179,15.676568,0.160591
32.795303,-0.244916,62.91,1.587302,2.91514,-98.412698,26.346653,62.978956,-64.862543,-0.38065
41.234208,-0.078811,28.75,17.857143,71.85559,-75.555556,50.891967,28.753626,-131.539611,-1.518855
41.260536,-0.066552,29.13,0,28.269231,-87.5,40.953009,29.146813,-140.151515,-0.343879
47.787996,0.030836,28.8,0,72.826087,-48.717949,48.217931,29.004725,-166.666667,-1.71875
38.336482,-0.070175,29.08,0,10,-100,40.491723,29.082198,-112.211221,-0.689655
33.61622,-0.164303,185.2309,27.918033,23.852644,-84.42378,39.446671,185.507565,-119.319844,1.384474
69.92039,0.463921,188.42,97.368421,86.819203,-0.557119,65.563132,188.547473,153.518124,2.288305
62.137487,0.130482,187.46,88.175276,89.188809,-11.326861,68.036851,186.70442,68.733751,0.845063
61.026225,-0.05671,187.23,98.818898,68.782086,-1.181102,59.715486,185.827007,135.210964,0.571855
57.028222,3.748873,497.77,0.932091,8.787112,-49.166667,41.235182,505.352857,-120.368061,1.505037
52.313494,1.466698,499.28,19.134396,11.867119,-27.4843,45.748715,500.603615,-122.824859,1.230253
57.559341,2.096233,509.78,24.099542,60.987123,-44.83559,58.445289,513.073137,-41.286991,-3.438565
68.961396,2.743915,518.38,85.683272,45.861266,-11.658823,59.245218,519.922335,86.267729,-3.404453
73.528673,1.185101,269.69,21.814672,44.942494,-53.289474,38.011412,269.490934,166.666667,-0.92532
57.194908,0.019286,266.8,77.202073,82.885151,-10.551559,54.152365,266.720881,86.692545,0.307266
46.937577,-0.539087,265.4001,81.188153,55.526603,-36.161644,54.612441,264.704022,165.273555,0.396721
47.393431,-0.078255,265.55,48.031496,29.38153,-58.075601,51.0289,265.9857,-47.976224,0.838756
60.884596,0.032104,142.195,83.043478,81.567807,-7.386364,60.512313,142.350495,62.809696,-0.126458
67.487326,0.204136,142.73,97.87234,87.206831,-0.809717,64.151648,142.885055,113.769093,-0.754664
62.744579,0.089422,142.34,78.328173,82.076575,-7.5,63.353949,142.595165,145.135868,-0.20358
