RSI,MACD,Close,Stochastic Fast K,Stochastic Fast D,Williams %R,Ultimate Oscilator,TSF,CCI,Y
61.274064,2.741128,229.000000,56.586743,62.233756,-28.181165,55.195580,229.732527,44.935008,1.301791
45.367349,0.247317,220.110000,38.768529,32.632450,-79.025293,48.638677,220.481538,-68.412107,2.196174
70.518123,4.655516,189.840000,86.001115,87.055901,-5.708438,60.375147,192.589780,97.387534,10.433454
49.124605,4.630894,218.540000,10.593539,16.529168,-92.985075,37.842443,223.480330,-166.666667,4.455377
60.996274,1.142403,226.050000,93.078355,93.786121,-2.520834,67.521473,221.467253,100.535668,1.319226
49.046531,-0.985140,170.330000,41.955193,69.278773,-56.212811,48.318055,167.976044,38.441187,14.607206
55.010418,1.322236,229.040000,91.567696,64.991818,-33.933162,64.161442,226.892088,90.575890,-1.459020
45.841072,0.931023,220.820000,25.851393,23.257648,-78.367876,41.468870,222.954286,-48.769046,3.906568
48.953590,-1.104066,216.240000,97.401347,60.127364,-34.583064,53.156786,210.634725,114.993704,2.408863
39.986613,-1.119319,209.820000,46.689189,42.796337,-56.513531,49.150306,209.887033,-28.825038,3.187849
63.874698,8.579014,228.880000,27.137871,63.893586,-31.006313,55.534111,237.577143,-66.138960,0.762780
46.999923,-1.623505,169.300000,68.949772,73.884775,-63.423171,50.453874,166.935495,87.718842,10.253602
61.778050,7.514441,207.490000,3.209459,38.426383,-45.311943,43.400109,217.943187,-112.846831,4.492169
67.586453,6.596411,216.750000,91.460674,74.146064,-12.984569,45.731160,212.642527,112.114972,-0.186135
73.794482,9.013610,234.400000,75.305410,75.136981,-9.888190,66.238495,237.000989,134.919309,-4.301167
45.367349,0.247317,220.110000,38.768529,32.632450,-79.025293,48.638677,220.481538,-68.412107,2.196174
57.291570,6.926890,224.310000,13.636364,33.127986,-51.047017,47.080376,232.017802,-83.913415,1.089480
59.852184,4.821143,186.880000,4.114164,57.740382,-47.916247,45.133312,192.652857,-137.979045,12.696073
66.892073,3.530967,186.280000,85.813149,69.689193,-3.925323,59.575174,188.230989,161.020903,13.370325
48.867202,-1.037182,220.690000,66.897233,49.490696,-64.368421,58.779150,217.205275,21.643774,3.325032
